PERMUTATIONTYPE,domain,meta
addition,googlea.com,184.168.131.241 NS:ns65.domaincontrol.com MX:mailstore1.secureserver.net
addition,googleb.com,47.254.33.193 NS:ns3.dns.com
addition,googlec.com,52.58.78.16 2a05:d014:9da:8c10:306e:3e07:a16f:a552 NS:ns1.dan.com
addition,googled.com,107.161.23.204 NS:ns1.dnsowl.com
addition,googlee.com,142.250.73.196 2607:f8b0:4004:811::2004 NS:ns1.google.com MX:
addition,googlef.com,NS:ns1.googledomains.com
addition,googleh.com,103.224.182.241 NS:ns1.above.com MX:park-mx.above.com
addition,googlei.com,107.161.23.204 NS:ns1.dnsowl.com
addition,googlej.com,54.235.212.68 NS:ns1.pql.net MX:mail.googlej.com
addition,googlek.com,52.58.78.16 2a05:d014:9da:8c10:306e:3e07:a16f:a552 NS:ns1.dan.com
addition,googlel.com,NS:ns1.googledomains.com
addition,googlem.com,107.161.23.204 NS:ns1.dnsowl.com
addition,googlen.com,103.224.182.239 NS:ns1.above.com MX:park-mx.above.com
addition,googleo.com,95.211.219.66 NS:ns1.hastydns.com
addition,googlep.com,54.235.212.68 NS:ns1.pql.net MX:mail.googlep.com
addition,googleq.com,104.247.82.13 NS:ns1.parkingcrew.net MX:mail.h-email.net
addition,googler.com,NS:ns1.googledomains.com
addition,googles.com,34.73.132.53 NS:ns21.domaincontrol.com MX:mailstore1.secureserver.net
addition,googlet.com,103.224.182.239 NS:ns1.above.com MX:park-mx.above.com
addition,googleu.com,3.212.82.98 NS:ns3.domainmanager.com MX:mx94.mb1p.com
addition,googlev.com,NS:ns1.googledomains.com
addition,googlew.com,107.161.23.204 NS:ns1.dnsowl.com
addition,googlex.com,NS:ns1.googledomains.com
addition,googley.com,85.233.160.22 NS:ns0.phase8.net MX:fwd0.hosts.co.uk
addition,googlez.com,47.74.55.53
bitsquatting,foogle.com,64.111.126.107 NS:ns1.dreamhost.com MX:ALT1.ASPMX.L.GOOGLE.com
bitsquatting,eoogle.com,NS:ns1.googledomains.com
bitsquatting,coogle.com,NS:ns1.googledomains.com
bitsquatting,ooogle.com,NS:ns1.googledomains.com
